Date,VTRS,SRFM,MANH,PMM,RCKY,WKHS,ROOT,RMD,PESI,CMI,FVCB,HUMA,AREC,WSBF,VRSN,FEAM,NWFL,EVF,PCB,TIL,BLD,RCL,VBFC,EPAM,LFVN,ESS,PDSB,HBAN,FCCO,GSIT,PRPH,ENB,MFM,BLNK,CLSD,HNVR,PCYO,GHRS,PHG,RTC,VEEV,CEG,NTIP,MOND,EPD,GWW,MDT,TCBC,A
2021-01-10 00:00:00-05:00,0.5286863426098198,,0.07319952918825645,0.6589283375832773,0.6019677676979307,0.3321738963960284,0.5911619663646236,0.29934873383390115,0.3839479279316973,0.8958826340347983,0.7538752962811328,0.7144019388377011,0.5183823457709598,0.7430487283210252,0.3762983558768118,,0.30439887720515424,0.3927511551017111,0.3905251089256764,,0.21056294288960942,0.5556704210651724,0.20993574775005674,0.3159276377810322,0.9665477033893894,0.33900060915412533,0.07692307433452483,0.7388157617087958,0.5196631356735293,0.8045325667106817,0.16592068738736432,0.14961291991784242,0.7165980346716783,0.5447951388184388,0.3783659291294061,,0.5075317888193905,,0.8553005987723774,0.7406392509536962,0.5523651529317245,,0.4661968954433766,,0.2233265410396248,0.07323858534910321,0.7095033771540233,,0.15365400121636474
2021-01-17 00:00:00-05:00,0.5769986702514389,,0.11241357417118647,0.6414256875091913,0.6784388203818356,0.4101863498245507,0.5003090612691246,0.299787574242631,0.3839479279316973,0.9961322189954425,0.7709147057907473,0.7599674726449606,0.593750006163164,0.773350784010397,0.3174076481261625,,0.30007066812696515,0.3777805371767968,0.4156642643836582,,0.22855902899839986,0.5940245904997915,0.27530693906410386,0.3269830454047938,0.9490246464860961,0.48996474734559814,0.23006352416831746,0.7968104279455006,0.48639155255728683,0.8031161037326116,0.20633192893320496,0.2034171211951663,0.7283872881830731,0.7247599000747091,0.3614402272794224,,0.6755504056900427,,0.9007417420692634,0.8776255547096837,0.5682398370791822,,0.6627566669178002,,0.24543075525324154,0.06494794517958968,0.7185150184722453,,0.22412890363675664
2021-01-24 00:00:00-05:00,0.6220903592427829,,0.08306633455402768,0.6297571467436343,0.6822626201163186,0.3915528097278167,0.5471261022657042,0.30279616469525994,0.489154035760875,0.896380293423078,0.6194533756977925,0.716029315358267,0.6341911427544564,0.7514661591791885,0.35843378410781823,,0.2791526227946126,0.4070567975259243,0.3971407670680974,0.9768020052519901,0.25059768291909634,0.5991936173056392,0.2274926138285669,0.3574841162221258,0.9394671363683189,0.4077401716351241,0.21030345201346354,0.7265115305162901,0.6670059756227902,0.8597733395826466,0.28805249601313865,0.19565164100845145,0.6715063470801055,0.7037836263042511,0.313740588766607,,0.7473927977039768,,0.9160282538729849,0.9168949896563349,0.5817706730498017,,0.7453470228407573,,0.1722586587442707,0.07613034245580863,0.6826321700815632,,0.24075045215530366
2021-01-31 00:00:00-05:00,0.5769986702514389,,0.08045202199540635,0.650810034345862,0.682644930592811,0.3252173813941704,0.6555933372830233,0.3362026217926426,0.41757048301305033,0.8530967865859771,0.6469056761845264,0.7038242242467734,0.477941165352724,0.7422069079685405,0.43768169137344426,,0.16085554592487972,0.386146020766716,0.3514934514001503,1.0,0.2933710457481138,0.5355111691985125,0.27530693906410386,0.37355389203203165,0.977698356570883,0.4668760490339048,0.12844036805301948,0.7389667172737537,0.6495777401177554,0.7776203779933983,0.1425718702680806,0.24058077190440397,0.6991204323858127,0.6565379898516319,0.24911524840380794,,0.6338353899674022,,0.9168658848777287,0.6557078018485953,0.5502875938697581,,0.6076964901499629,0.6366874440430205,0.21113134060140948,0.07376438839113719,0.7241840047109094,,0.2799770253708531
2021-02-07 00:00:00-05:00,0.5276128345581659,,0.09748697090136882,0.6800989704617209,0.8371165095231099,0.3423602515516777,0.5559332672266142,0.3582022608204829,0.43383947462472405,0.794639363306255,0.6535321947170214,0.7192839908018154,0.4935661718582858,0.7422069079685405,0.4607394489245076,,0.17528182159957995,0.39032761517296644,0.3376006729460316,0.8739078762941799,0.2917626545478955,0.557324468629037,0.2510260139572209,0.397737569850893,0.9617686112643709,0.4290405500045704,0.16372618474647668,0.7265115305162901,0.4356927100525523,0.7889518116552708,0.1722068360487916,0.2267136887688408,0.7582929266176692,0.7627916327051054,0.2783505249189243,,0.6546928978287224,,0.9392723448993925,0.8876712727249924,0.6215106656268711,,0.7453470228407573,0.6144256448548623,0.1554898335488779,0.08787883199319002,0.7180910965370273,,0.3072359223259806
2021-02-14 00:00:00-05:00,0.4739323941817146,,0.1033057835287694,0.7826098441816036,0.8208662679729264,0.31590061134580333,0.5406365978176344,0.38778573905625824,0.45878524797123754,0.8152859000112884,0.5541356580521888,0.7469486932731838,0.47977939883414644,0.7751398937177658,0.4960532073326491,,0.13488784562612133,0.43391589232802374,0.31180005531877286,0.8117972727059701,0.3164529750693724,0.5905096112578084,0.2510260139572209,0.4432818657209074,0.8964568240407362,0.47437360429979636,0.2152434784649713,0.7626315721129346,0.35647597199651804,0.8158640003725544,0.03301250538394057,0.22948741022842478,0.7622385235589828,0.8182709879481486,0.3014310141014743,,0.6940903635637204,,0.989529697118319,0.8347032422401611,0.6026529093711496,,0.7246991161608134,0.6268922829721597,0.2019848061907965,0.07831419691199426,0.7808315429492805,,0.3660191625532574
2021-02-21 00:00:00-05:00,0.4739323941817146,,0.1213527306193245,0.7972548759994056,0.8950433033601972,0.319751536331539,0.5058714543588146,0.44012093056470625,0.4056399339864951,0.8771022179727708,0.7671282204986145,0.7087062762108876,0.4117646723676317,0.7708906132877613,0.5257582363454221,,0.1544864003098394,0.4255098676703857,0.3131232560439007,0.6984266391994387,0.3720495582678164,0.5440917726257612,0.3821424523364847,0.48864849282027495,0.8630039375643981,0.515200274708717,0.21171488333515473,0.7514221745609033,0.42460272463410664,0.7237960005588314,0.041094724409352745,0.25389280591557917,0.8002384505552533,0.6679082708304827,0.31681798243289017,,0.9999999999999999,,0.9943460753955968,0.7872146151331831,0.6497443022989465,,0.7178168436856376,0.6322350672209839,0.2057955940313152,0.08895067846151117,0.8452189567002188,,0.4015760620414266
2021-02-28 00:00:00-05:00,0.46963824747978644,,0.12565357813965528,0.7890444382914081,0.8730578641307487,0.3060869592156179,0.4850123918601448,0.4513401213707744,0.42733188832359437,0.8537187587582848,0.6516388392234467,0.6777868206983872,0.39889703799767495,0.7419955836303995,0.5601371008653673,,0.11878632970387892,0.43391589232802374,0.3157693120109384,0.6101247456932478,0.3413605865955063,0.5484337362131317,0.3649587622229793,0.5125557568311581,0.8295519780199174,0.5672267963763893,0.23218065432526572,0.5919947019466236,0.34538501046152925,0.6997166702570161,0.028522378280238236,0.24113543998820308,0.7843989755709146,0.6910409965408928,0.34297586528172336,,0.9385862514098603,,1.0,0.6776255895471022,0.6900170356754257,,0.752229476858336,0.6313446597941964,0.2324730754502382,0.12267958679989832,0.9323308997174895,,0.42954252297126816
2021-03-07 00:00:00-05:00,0.4631963977026745,,0.23528426989758033,0.7361242990652701,0.754527562589248,0.298881991325965,0.4901112685650149,0.3176503158017274,0.4436008799352681,0.7239921427788452,0.6563720022623669,0.6623270541433451,0.3860294036277183,0.6774070233276763,0.635957644980266,,0.11368663045138816,0.43391589232802374,0.38192478788885087,0.7556732023653463,0.32997177870065286,0.5602191110206174,0.4441516874518592,0.5117660977681304,0.753089284815192,0.5220264037955706,0.23500351696864816,0.6443066215928144,0.24240373904695556,0.6246458884767744,0.03750263248764285,0.3232277135392736,0.7883592157022532,0.6755538187751678,0.36451762094570556,,0.8644264199151496,,0.9066049897472339,0.6164383669019441,0.6997123654878253,,0.6765217564953601,0.6224399061501231,0.24592650092230506,0.14286033534677278,0.9277197450044918,,0.3890577020386261
2021-03-14 00:00:00-05:00,0.5469378114129386,,0.19834714040543489,0.827264136157996,1.0,0.23055901097127354,0.47249693864319486,0.3627150975872093,0.46420826241436164,0.9024757023621266,0.6629985207948617,0.6501220406294351,0.3547793906165946,0.7063022461517094,0.6787494451098106,,0.08308688076606918,0.47174886771857594,0.4158573895025478,0.6965558368547512,0.3367093917204963,0.5327199294275142,0.44527253502611996,0.5166028574307526,0.6479532185918095,0.5111572616220226,0.17290050516305808,0.7040920590880122,0.22167232516003832,0.6218130300613063,0.05546318970871206,0.3836879318221853,0.8675559539635085,0.5926289087251346,0.31066319510032375,,0.7833139384575111,,0.9451356772549819,0.7771689842114206,0.5799061615366995,,0.6902866645305175,0.6170970369792744,0.2645744399754433,0.21110548381605698,0.858227848445799,,0.39251982228789295
