Date,POET,RNG,NKE,CWAN,RLI,FTCI,VRSN,SYBT,TCMD,APM,DCOMP,TSVT,FNWD,IBKR,ELS,ARVN,CSWI,NRP,XXII,SFM,FNF,CTLP,PTON,MCBS,HUGE,ZOM,PR,KVYO,BXP,EIC,BURL,DSAQ,SOVO,MXE,EG,SPIR,ITOS,NYMTN,HYT,GRNQ,CVV,BTOG,MGOL,MARA,BAER,SSYS
2021-01-10 00:00:00-05:00,6.300000190734863,387.95001220703125,141.8797607421875,,94.7633056640625,,202.44000244140625,39.5550537109375,51.435001373291016,27.0,20.84193992614746,,37.34532165527344,68.7320556640625,56.91952896118164,80.44000244140625,120.20863342285156,12.073529243469238,39.45000076293945,19.420000076293945,33.12265396118164,10.630000114440918,158.8800048828125,13.59527587890625,1.9199999570846558,0.48399999737739563,1.9180444478988647,,77.67288970947266,15.050000190734863,264.9700012207031,,,9.746625900268555,224.01690673828125,81.68000030517578,33.0,16.959917068481445,8.48525619506836,26.700000762939453,4.179999828338623,27.479999542236328,,26.389999389648438,,28.1299991607666
2021-01-17 00:00:00-05:00,6.300000190734863,372.92999267578125,136.42172241210938,,90.85719299316406,,195.27000427246094,39.46110153198242,50.400001525878906,33.099998474121094,20.956863403320312,,38.75029754638672,67.88619232177734,55.94071960449219,90.5999984741211,122.95606994628906,12.482534408569336,41.70000076293945,20.920000076293945,33.377254486083984,10.359999656677246,157.80999755859375,13.650094032287598,2.069999933242798,0.9750000238418579,2.399965286254883,,82.08101654052734,15.25,253.9199981689453,,,9.814783096313477,216.7331085205078,83.5999984741211,35.130001068115234,17.47454261779785,8.432365417480469,21.700000762939453,4.559999942779541,30.299999237060547,,22.389999389648438,,31.850000381469727
2021-01-24 00:00:00-05:00,7.5,384.5199890136719,135.0935516357422,,90.09024047851562,,194.75,40.26911544799805,52.619998931884766,36.0,21.122676849365234,,37.164031982421875,67.71897888183594,58.988983154296875,84.08999633789062,124.07870483398438,11.829697608947754,41.849998474121094,21.40999984741211,33.47059631347656,10.539999961853027,159.75,13.741461753845215,2.2799999713897705,0.9559999704360962,2.4096038341522217,,78.75982666015625,15.125,252.25,,,9.503203392028809,214.5957794189453,84.23999786376953,32.75,17.572925567626953,8.492814064025879,20.5,4.900000095367432,31.5,,18.299999237060547,,38.150001525878906
2021-01-31 00:00:00-05:00,8.399999618530273,372.9200134277344,129.50950622558594,,86.30899047851562,,194.07000732421875,42.46766662597656,54.54999923706055,32.0,20.81731605529785,,35.940338134765625,60.18482208251953,56.71444320678711,75.44000244140625,114.87680053710938,12.278032302856445,37.5,22.649999618530273,30.805850982666016,9.920000076293945,146.1300048828125,13.010533332824707,2.009999990463257,0.9200000166893005,2.2553889751434326,,78.73394012451172,14.819999694824219,248.89999389648438,,,8.792409896850586,197.87205505371094,82.08000183105469,32.0,17.338319778442383,8.387029647827148,20.200000762939453,4.809999942779541,27.56999969482422,,20.739999771118164,,41.5099983215332
2021-02-07 00:00:00-05:00,10.800000190734863,407.1700134277344,140.6776123046875,,89.89403533935547,,199.52000427246094,44.064903259277344,59.900001525878906,35.900001525878906,21.18748664855957,,36.937416076660156,70.73855590820312,58.53221130371094,83.13999938964844,117.31197357177734,13.851130485534668,45.150001525878906,22.309999465942383,32.89352035522461,9.84000015258789,148.3000030517578,13.708088874816895,2.190000057220459,1.909999966621399,3.1903152465820312,,79.46720123291016,15.180000305175781,255.99000549316406,,,9.250043869018555,205.67144775390625,84.87999725341797,38.25,17.822669982910156,8.734602928161621,22.299999237060547,5.360000133514404,33.0,,22.520000457763672,,51.720001220703125
2021-02-14 00:00:00-05:00,10.100000381469727,443.2900085449219,137.77894592285156,,92.99752807617188,,202.38999938964844,45.079620361328125,62.47999954223633,34.20000076293945,21.095945358276367,,37.27280807495117,71.47624206542969,58.52289581298828,81.08999633789062,126.41180419921875,13.99271011352539,61.5,21.969999313354492,33.6318473815918,10.029999732971191,154.6699981689453,13.64368724822998,2.8299999237060547,2.569999933242798,3.3445301055908203,,81.17523193359375,15.3100004196167,262.6600036621094,,,9.357149124145508,228.30096435546875,84.0,36.0,18.193506240844727,8.778416633605957,27.100000381469727,6.75,38.099998474121094,,38.459999084472656,,50.099998474121094
2021-02-21 00:00:00-05:00,9.899999618530273,427.3900146484375,137.6820068359375,,91.95410919189453,,197.9499969482422,45.92521286010742,60.31999969482422,38.900001525878906,20.929502487182617,,36.937416076660156,73.3056869506836,57.972900390625,79.16000366210938,129.48777770996094,14.04001235961914,62.099998474121094,21.8799991607666,34.344703674316406,10.979999542236328,139.7100067138672,13.478087425231934,2.490000009536743,2.2799999713897705,3.4891061782836914,,79.57072448730469,15.270000457763672,264.80999755859375,,,9.308465957641602,224.32627868652344,82.80000305175781,40.43000030517578,18.125394821166992,8.786023139953613,33.70000076293945,6.860000133514404,41.400001525878906,,43.27000045776367,,43.91999816894531
2021-02-28 00:00:00-05:00,8.899999618530273,378.1600036621094,130.92881774902344,,93.25890350341797,,194.02999877929688,46.29163360595703,50.81999969482422,30.700000762939453,20.30536651611328,,36.348228454589844,71.29705047607422,57.469512939453125,78.30000305175781,123.7991714477539,14.217427253723145,50.25,21.110000610351562,32.486175537109375,10.350000381469727,120.47000122070312,13.146885871887207,2.059999942779541,1.8700000047683716,3.81681227684021,,85.51435852050781,15.210000038146973,258.82000732421875,,,9.123464584350586,226.67919921875,83.76000213623047,41.58000183105469,18.41297721862793,8.694738388061523,22.899999618530273,4.929999828338623,33.29999923706055,,30.149999618530273,,34.4900016784668
2021-03-07 00:00:00-05:00,7.699999809265137,321.3599853515625,129.5396728515625,,97.54019927978516,,193.77000427246094,50.59477233886719,47.65999984741211,26.899999618530273,20.59663200378418,,36.92835998535156,74.06463623046875,55.8008918762207,72.04000091552734,126.40193939208984,14.427098274230957,36.0,23.6200008392334,31.8072566986084,9.449999809265137,105.12999725341797,13.965688705444336,1.690000057220459,1.7799999713897705,4.819207668304443,,88.2144546508789,15.279999732971191,279.3500061035156,,,9.21109676361084,231.45069885253906,85.27999877929688,34.63999938964844,18.419031143188477,8.816449165344238,18.399999618530273,4.070000171661377,30.600000381469727,,30.030000686645508,,23.690000534057617
2021-03-14 00:00:00-05:00,9.399999618530273,343.8399963378906,136.43678283691406,,104.79784393310547,,188.10000610351562,51.92995071411133,51.119998931884766,32.599998474121094,20.73810386657715,,37.57193374633789,77.6890640258789,58.08476257324219,76.86000061035156,136.3792266845703,14.499678611755371,45.75,24.43000030517578,35.44795227050781,10.199999809265137,111.55000305175781,15.419297218322754,2.049999952316284,2.2899999618530273,5.542088985443115,,93.6750259399414,15.375,311.510009765625,,,9.688203811645508,237.00027465820312,85.27999877929688,39.13999938964844,18.806514739990234,8.913707733154297,23.899999618530273,4.710000038146973,31.200000762939453,,40.70000076293945,,28.34000015258789
